skill,category,difficulty,prerequisite,est_hours,resource_title,resource_url
python,Programming,Intermediate,,20,Python Official Tutorial,https://docs.python.org/3/tutorial/index.html
java,Programming,Intermediate,,25,Java Programming - Mooc.fi,https://java-programming.mooc.fi/
javascript,Programming,Intermediate,,20,MDN JavaScript Guide,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Guide
typescript,Programming,Intermediate,javascript,20,TypeScript Handbook,https://www.typescriptlang.org/docs/handbook/intro.html
kotlin,Programming,Intermediate,,15,Search official documentation,https://www.google.com/search?q=kotlin+tutorial
dart,Programming,Intermediate,,15,Search official documentation,https://www.google.com/search?q=dart+tutorial
html,Frontend,Beginner,,10,MDN HTML Basics,https://developer.mozilla.org/en-US/docs/Learn/Getting_started_with_the_web/HTML_basics
css,Frontend,Beginner,html,15,MDN CSS Basics,https://developer.mozilla.org/en-US/docs/Learn/Getting_started_with_the_web/CSS_basics
bootstrap,Frontend,Intermediate,,15,Search official documentation,https://www.google.com/search?q=bootstrap+tutorial
tailwind css,Frontend,Intermediate,,15,Search official documentation,https://www.google.com/search?q=tailwind+css+tutorial
react,Frontend,Intermediate,javascript,25,React Official Docs,https://react.dev/learn
angular,Frontend,Intermediate,javascript,25,Angular Official Docs,https://angular.io/docs
nextjs,Frontend,Intermediate,react,25,Next.js Foundations,https://nextjs.org/learn/foundations/about-nextjs
redux,Frontend,Intermediate,,15,Search official documentation,https://www.google.com/search?q=redux+tutorial
flask,Backend,Intermediate,python,15,Flask Quickstart,https://flask.palletsprojects.com/en/2.3.x/quickstart/
django,Backend,Intermediate,python,25,Django Official Tutorial,https://docs.djangoproject.com/en/stable/intro/tutorial01/
fastapi,Backend,Intermediate,,15,Search official documentation,https://www.google.com/search?q=fastapi+tutorial
node.js,Backend,Intermediate,javascript,20,Node.js Official Docs,https://nodejs.org/en/docs/
express.js,Backend,Intermediate,,15,Search official documentation,https://www.google.com/search?q=express.js+tutorial
rest api,Backend,Intermediate,,15,RESTful API Tutorial,https://restfulapi.net/
jwt authentication,Backend,Intermediate,,15,Search official documentation,https://www.google.com/search?q=jwt+authentication+tutorial
sqlalchemy,Backend,Intermediate,,15,Search official documentation,https://www.google.com/search?q=sqlalchemy+tutorial
redis,Backend,Intermediate,,10,Redis Official Tutorial,https://redis.io/docs/getting-started/
microservices,Backend,Intermediate,,15,Search official documentation,https://www.google.com/search?q=microservices+tutorial
celery,Backend,Intermediate,,15,Search official documentation,https://www.google.com/search?q=celery+tutorial
backend architecture,Backend,Intermediate,,15,Search official documentation,https://www.google.com/search?q=backend+architecture+tutorial
mysql,Database,Intermediate,,15,Search official documentation,https://www.google.com/search?q=mysql+tutorial
postgresql,Database,Intermediate,sql,15,PostgreSQL Tutorial,https://www.postgresqltutorial.com/
